Title,Rating
Bienvenue chez les Ch'tis, 3.0
Du sang et des larmes, 3.5
The Island, 4.0
No Pain No Gain, 4.0
13 Hours, 3.5
Neuilly sa mère !, 2.5
Welcome, 3.5
La Guerre des Mondes, 3.5
Minority Report, 4.5
Collateral, 4.5
Indigènes, 4.0
Dunkerque, 3.5
Underwater, 2.5
Un prophète, 4.5
Un pays qui se tient sage, 2.0
Djinns, 2.0
La Proie, 3.5
Ni le ciel ni la terre, 3.5
Grave, 4.0
Piégé, 3.5
Piégée, 1.5
MR 73, 3.5
Carbone, 4.0
Overdose, 2.5
16 ans, 0.5
Intouchables, 4.0
YAO, 3.0
Police, 2.5
The Chef, 3.5
2 Guns, 2.5
Equalizer, 4.0
M3GAN, 3.0
Avatar, 4.0
Avatar : la voie de l'eau, 3.5
Hippocrate, 4.0
Le Brio, 3.5
Mauvaises herbes, 3.0
Nous trois ou rien, 4.0
L’Affaire SK1, 3.5
L'Assaut, 3.5
Chrysalis, 3.5
Braqueurs, 3.5
Le Crime de l'Orient-Express, 3.0
Mort sur le Nil, 3.0
Dans la brume, 3.5
Sentinelle, 1.0
La Source, 3.5
Le Sens de la fête, 4.0
Le goût des autres, 3.5
Man of Steel, 4.0
Blood Father, 2.0
Paranoïa, 3.0
KIMI, 2.5
Novembre, 3.0
L'Ascension, 3.0
Brice de Nice, 3.5
Top Gun: Maverick, 3.5
Kompromat, 3.0
Qu'un sang impur..., 4.0
Black N Black, 3.0
The Dark Knight, Le Chevalier Noir, 4.0
Le Roi Lion, 4.0
Le Seigneur des anneaux : le retour du roi, 4.0
Les Evadés, 4.5
Le Parrain, 4.0
La Liste de Schindler, 4.5
Nope, 3.0
Bac Nord, 4.0
Eden Log, 3.5
Babysitter, 3.5
La Loi de Téhéran, 4.0
Starbuck, 3.5
Men in Black, 3.0
Valérian et la Cité des mille planètes, 3.0
Le Grand Bleu, 4.0
Adèle Blanc-Sec, 3.0
Le Cinquième élément, 4.0
Léon, 4.0
Anna, 3.0
Bullet Train, 3.5
Enemy, 3.5
Un monde, 3.5
Forrest Gump, 4.5
Interstellar, 4.5
Les Nuits de Mashhad, 3.0
As bestas, 3.5
Gerry, 2.5
