"Title","Rating"
"Don't Worry Darling","2.5"
"Coup de théâtre","3.0"
"After Yang","2.0"
"En corps","3.5"
"Cars 3","2.5"
"Men","2.0"
"Everything Everywhere All at Once","2.0"
"Les Passagers de la nuit","3.5"
"Rebel","4.0"
"Nope","2.5"
"One Piece Film - Red","2.5"
"La Nuit du 12","2.0"
"Trois Mille ans à t’attendre","3.5"
"Buzz l'éclair","2.5"
"As bestas","3.0"
"El buen patrón","3.5"
"Irréductible","2.5"
"Get Out","3.5"
"Arthur 3 La Guerre des Deux Mondes","2.5"
"Bullet Train","3.0"
"La Petite Bande","3.0"
"Les Affranchis","3.0"
"Downton Abbey II : Une nouvelle ère","3.5"
"Doctor Strange","1.5"
"Ready Player One","4.0"
"Django Unchained","4.0"
"Parvana","3.0"
"Jujutsu Kaisen 0","3.5"
"The Duke","3.0"
"Spider-Man : New Generation","3.0"
"Moi, Moche et Méchant 3","2.0"
"Le Petit Nicolas - Qu’est-ce qu’on attend pour être heureux ?","3.5"
"Jurassic World: Fallen Kingdom","2.5"
"Mad Max: Fury Road","4.0"
"Midnight Express","1.0"
"Thor: Love And Thunder","2.0"
"Compétition officielle","3.5"
"Thor : Ragnarok","3.5"
"Avengers: Infinity War","1.5"
"Gone Girl","4.0"
"Elvis","3.0"
"Les Goûts et les couleurs","3.0"
"Star Wars : Episode I - La Menace fantôme","3.5"
"Coupez!","2.0"
"Venom: Let There Be Carnage","2.0"
"Edward aux mains d'argent","4.0"
"Morbius","1.0"
"Sonic 2 le film","1.5"
"Arthur et les Minimoys","3.5"
"Le Temps des secrets","3.0"
"La Brigade","3.5"
"Jurassic World: Le Monde d'après","2.0"
"Goliath","2.0"
"Notre-Dame brûle","4.0"
"Mon voisin Totoro","2.0"
"Grease","0.5"
"Top Gun: Maverick","4.5"
"Super Miss","0.5"
"Frère et soeur","1.5"
"Rocky","3.0"
"Contes du hasard et autres fantaisies","2.0"
"J'adore ce que vous faites","3.0"
"Arrête-moi si tu peux","4.0"
"Downton Abbey","3.5"
